ID	UMAP_1	UMAP_2	orig.ident	color_A951	color_A952	color_A953	color_A954	color_A955
A965_AbeWTA17_2765	7.03659891385506	-1.47662917324528	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_2801	-1.24354601603081	-5.32354537197575	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_2830	-6.41825700502922	-0.0552709455154868	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_2928	0.968879811949233	-6.00953904339299	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_3024	-3.41113973360588	1.65293248942867	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_3030	-1.77294696074059	3.75609597018733	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_3135	4.89828323621223	1.13221588185802	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_3202	2.02929162282417	0.380634213004258	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_3258	4.64303421277473	-1.45082048126683	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_3330	4.14263891477058	0.535943949732926	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_3363	6.27154278058479	-3.84920684048161	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_3397	2.53139590520332	-3.51126090237126	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_3402	-5.40744138460686	0.81758304885402	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_3404	0.39685105580757	-4.18492976376042	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_3427	3.11781191129158	3.07087620547786	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_3441	6.04759096402595	-1.41941002556309	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_3483	-6.22085500460198	-0.166132187332961	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_3488	1.96933721799324	-0.970004236187789	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_3522	-7.66034913759758	2.29418166926875	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_3570	4.48010563153694	-3.4428919906281	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_3612	-1.65513671141197	4.57960137179866	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_3677	-8.41710353594353	1.19708242467418	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_3755	-0.553698367887041	1.13543018153682	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_3804	-3.46305990915825	3.6375695114471	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_3809	-6.75840831499626	-1.20077899643407	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_3831	2.38949035901497	1.52139588645473	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_3841	-3.32058788042595	1.23661896041408	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_3910	3.92969345349739	-2.79176489063725	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_3948	-0.279514930658838	-0.408158635582778	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_3959	6.08293127316902	-3.80761424252019	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_3980	-3.39081788759758	3.9279952888824	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_4069	0.0934333731598649	-0.510138487305495	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_4134	-2.33844698172142	4.57467182925716	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_4193	-0.402097775117358	0.99614682248607	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_4338	2.29446648854683	-0.491762375321242	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_4405	1.52338122624824	-0.669093644108626	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
